repeticao,nome_img,filtro,config,f1score,precision,recall,tempo_ms,cpu_time_ms,horario_inicio,horario_fim
1,RGB_025.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.12130623533545676,0.24451654176567356,0.0806614510318214,1.7925280008057598,1.7798199999998765,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_025.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.08539970564673884,0.2425140196804571,0.05182471849138516,1.5126990001590457,1.5046100000000173,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_026.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.1381222284220728,0.2623616565512317,0.09373480337056259,0.6868290001875721,0.681689999999957,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_026.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.09361427142297916,0.2122091385430165,0.06005309353550331,1.5348590022767894,1.5296909999999997,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_027.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.0685218322803686,0.25376431340726713,0.03960848884010245,0.6713600014336407,0.6648499999997171,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_027.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.1511944227232177,0.3477379806474492,0.09659714599341383,1.4975590020185336,1.489100000000132,10/05/2026 10:22:18,10/05/2026 10:22:19
1,RGB_028.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.08258816995279089,0.25519135060923287,0.04926614319318822,0.6761590011592489,0.6684500000000426,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_028.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.061059580037557626,0.2161998791053798,0.03554981280853461,1.487138000811683,1.4801310000001067,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_029.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.12523144399164832,0.2643884227257605,0.08204713480278289,0.6732289984938689,0.6729110000001093,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_029.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.10022692387654988,0.21906179905638487,0.06497811885220045,1.4963389985496178,1.4878210000000003,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_030.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.05712562612031562,0.20631655372700872,0.033152501506931886,1.8115580023732036,1.7953710000000456,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_030.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.04449973522069145,0.1643180830591595,0.025734507767990824,1.5746190001664218,1.558280000000245,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_031.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.07214124438122725,0.2244950580146111,0.04297572332321462,0.6684799991489854,0.6680499999998091,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_031.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.038441412957763085,0.1845718329794763,0.021454955288465492,1.515509000455495,1.4877410000000424,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_032.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.07707329203449209,0.21593377320601614,0.04690810676067874,0.665060000756057,0.6592500000000001,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_032.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.07371524228552806,0.21940035273368608,0.04429962786888165,1.5022990010038484,1.487811000000061,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_033.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.09596529518686948,0.2744559965987709,0.058148675870878984,0.652439000987215,0.6522010000002965,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_033.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.08070539847172836,0.2520730397422127,0.048043695442113364,1.5026690016384237,1.4907499999998741,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_034.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.11133283393240463,0.26247365765337927,0.07065017656552099,0.6729799970344175,0.6656299999998616,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_034.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.07018569370055192,0.23513070407140904,0.04124922103446623,1.500758997281082,1.4867200000003855,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_035.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.08586875861337857,0.23216333009965606,0.052675811147462254,0.6460399999923538,0.645810000000413,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_035.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.1268459553152823,0.267840443713521,0.08310071935248271,1.5199090012174565,1.5108500000002856,10/05/2026 10:22:19,10/05/2026 10:22:19
1,RGB_036.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.13768286396372498,0.2536465728669162,0.09448543049087087,0.8432789982180111,0.8383899999997446,10/05/2026 10:22:19,10/05/2026 10:22:19
